epoch,train_loss,val_loss,train_acc,val_acc
1,0.8715444002674069,0.8473898961324873,0.489036065824303,0.4944435031345619
2,0.8422998312922829,0.8419221598238507,0.49606545331520474,0.496995006627929
3,0.8370643505096584,0.8402649353333322,0.4996867368276504,0.4978571357379925
4,0.8332545029274179,0.8415767887691259,0.5040192647853158,0.49589367406536233
5,0.8293815112124673,0.8411971014194451,0.5096818115498457,0.498791524224333
6,0.8248658948885425,0.8432430026135166,0.5160586481815094,0.5010265814836594
7,0.8193940042358987,0.8475575590734151,0.5242765807885372,0.5009269133784497
8,0.8132145784764655,0.8580307315251197,0.5328743605652192,0.5004036558260991
9,0.8058342734987157,0.8634747022393514,0.5415050862698814,0.49829318369828474
10,0.7979968498225897,0.8735315905403809,0.5506961696067447,0.49979069697905976
11,0.7892010196443322,0.8799365028073174,0.5595226328835246,0.5000049834052605
12,0.779994547933954,0.9031355309420804,0.5688056325908871,0.49681560403855163
13,0.7701429026125935,0.9104672071519871,0.5780338147037953,0.4941943328715378
14,0.7601288295116069,0.922863128035971,0.5869153724315673,0.49543021737613746
15,0.7499449850103658,0.9400059198490327,0.59563081623675,0.49358386572712865
16,0.7398845738509585,0.9444022652431173,0.6038706205102521,0.49349167272980976
17,0.7299410813694377,0.9546402538016271,0.611856824195268,0.4920190764753371
18,0.7200842242629679,0.9877530412070235,0.6194011648461965,0.4923978152751338
19,0.7106997918686153,0.9981069175775953,0.6268173209201936,0.4915929953255659
20,0.7016970450499215,0.9945857570935874,0.6334427747226659,0.48996342180538804
21,0.6928243528948437,1.0425198779037181,0.6395222674328949,0.4895323572503563
22,0.6846195229660882,1.0336397720252004,0.6455425128440669,0.48930561231100433
23,0.6767583288289138,1.0623404789817852,0.6508385015527499,0.48844846660620134
24,0.669079762387721,1.10871180007334,0.656079949523516,0.4875888291987681
25,0.6620585154835584,1.1149607226565184,0.6609556700080482,0.48683882670706546
26,0.6552080346340977,1.1362818494508482,0.6653025945056713,0.48400825251911134
27,0.6488847709285622,1.153463370372313,0.6695980236872916,0.48701822929644284
28,0.6426351849431388,1.1610139592521558,0.6732547448365563,0.4853861640736348
29,0.6368422477920574,1.2088417348324847,0.677272486910915,0.484334665563673
30,0.6311586554719588,1.1996573574841245,0.6809112123852326,0.48360958009827276
